IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.217.216.51,2053,443,true,VIE,Europe,AT,Vienna,258,10.52
4.182.90.213,443,443,true,FRA,Europe,DE,Frankfurt,271,10.09
130.0.239.147,8443,443,true,KBP,Europe,UA,Kyiv,298,10.03
130.0.239.147,2053,443,true,KBP,Europe,UA,Kyiv,238,9.96
13.67.136.12,443,443,true,ORD,North America,US,Chicago,478,9.96
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,441,9.04
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,295,8.99
158.23.168.120,443,443,true,DFW,North America,US,Dallas,219,8.90
20.91.225.232,2053,443,true,ARN,Europe,SE,Stockholm,470,8.78
74.249.233.213,443,443,true,ORD,North America,US,Chicago,245,8.75
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,426,8.73
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,290,8.61
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,442,8.58
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,388,8.57
20.151.63.165,8443,443,true,YYZ,North America,CA,Toronto,337,8.54
20.151.60.161,8443,443,true,YYZ,North America,CA,Toronto,252,8.51
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,324,8.29
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,391,8.27
40.123.41.147,8443,443,true,IAD,North America,US,Ashburn,382,8.19
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,281,8.17
20.151.90.208,8443,443,true,YYZ,North America,CA,Toronto,495,8.16
52.149.136.203,443,443,true,IAD,North America,US,Ashburn,535,8.06
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,411,8.06
20.220.29.122,8443,443,true,YYZ,North America,CA,Toronto,470,8.02
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,285,8.00
137.116.91.147,8443,443,true,IAD,North America,US,Ashburn,414,7.99
20.220.29.122,2053,443,true,YYZ,North America,CA,Toronto,480,7.85
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,342,7.77
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,401,7.66
40.123.47.225,8443,443,true,IAD,North America,US,Ashburn,380,7.60
40.123.42.160,8443,443,true,IAD,North America,US,Ashburn,282,7.57
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,536,7.56
4.239.248.70,8443,443,true,YYZ,North America,CA,Toronto,551,7.52
20.36.131.211,443,443,true,IAD,North America,US,Ashburn,395,7.51
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,408,7.50
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,475,7.30
20.151.238.192,8443,443,true,YYZ,North America,CA,Toronto,312,7.12
104.46.111.142,8443,443,true,IAD,North America,US,Ashburn,401,6.92
172.212.108.47,443,443,true,IAD,North America,US,Ashburn,511,6.87
104.46.101.90,8443,443,true,IAD,North America,US,Ashburn,419,6.69
172.174.249.255,443,443,true,IAD,North America,US,Ashburn,551,6.55
4.172.225.82,8443,443,true,YYZ,North America,CA,Toronto,226,6.54
4.152.146.92,443,443,true,IAD,North America,US,Ashburn,419,6.25
4.172.225.98,8443,443,true,YYZ,North America,CA,Toronto,261,6.19
20.200.127.8,8443,443,true,YYZ,North America,CA,Toronto,384,5.90
172.191.74.198,443,443,true,IAD,North America,US,Ashburn,440,4.43
20.77.106.83,8080,443,true,ORD,North America,US,Chicago,511,4.17
191.235.86.71,2053,443,true,GRU,South America,BR,São Paulo,349,3.89
20.74.223.241,8080,443,true,YYZ,North America,CA,Toronto,487,3.67
191.235.86.71,8443,443,true,GRU,South America,BR,São Paulo,433,3.66
130.0.239.23,443,443,true,KBP,Europe,UA,Kyiv,191,2.93
4.248.47.209,8443,443,true,YUL,North America,CA,Montréal,416,2.82
20.62.202.159,443,443,true,IAD,North America,US,Ashburn,308,0.34
20.220.204.217,443,443,true,YYZ,North America,CA,Toronto,512,0.07
20.204.43.57,80,443,false,BOM,Asia Pacific,IN,Mumbai,52,0.06
137.116.251.154,80,443,false,DUB,Europe,IE,Dublin,161,0.02
52.226.76.91,80,443,false,IAD,North America,US,Ashburn,243,0.02
13.90.157.110,80,443,false,IAD,North America,US,Ashburn,222,0.02
48.218.145.36,80,80,false,NRT,Asia Pacific,JP,Tokyo,89,0.00
20.48.5.180,80,80,false,NRT,Asia Pacific,JP,Tokyo,143,0.00
20.222.243.172,80,80,false,NRT,Asia Pacific,JP,Tokyo,143,0.00
40.66.63.160,80,80,false,CDG,Europe,FR,Paris,148,0.00
51.140.154.44,2086,2086,false,LHR,Europe,GB,London,150,0.00
104.40.244.228,80,80,false,AMS,Europe,NL,Amsterdam,152,0.00
51.140.191.188,2086,2086,false,LHR,Europe,GB,London,157,0.00
51.140.44.206,2086,2086,false,LHR,Europe,GB,London,158,0.00
51.141.162.228,80,80,false,SEA,North America,US,Seattle,161,0.00
13.95.193.125,80,443,false,AMS,Europe,NL,Amsterdam,173,0.00
20.223.196.107,80,80,false,DUB,Europe,IE,Dublin,177,0.00
20.58.24.221,2086,2086,false,LHR,Europe,GB,London,179,0.00
172.191.74.198,8080,80,false,IAD,North America,US,Ashburn,223,0.00
172.190.86.150,80,80,false,IAD,North America,US,Ashburn,227,0.00
20.119.73.200,80,80,false,IAD,North America,US,Ashburn,227,0.00
4.255.56.138,80,80,false,IAD,North America,US,Ashburn,234,0.00
4.255.56.137,80,80,false,IAD,North America,US,Ashburn,234,0.00
135.234.194.57,8080,80,false,IAD,North America,US,Ashburn,241,0.00
172.174.249.255,80,80,false,IAD,North America,US,Ashburn,265,0.00
74.235.55.225,80,80,false,IAD,North America,US,Ashburn,273,0.00
